time,up_preprocessed,octez_validator_block_worker_error_count_preprocessed,ocaml_gc_allocated_bytes_preprocessed,octez_p2p_connections_active_preprocessed,process_cpu_seconds_total_preprocessed,octez_store_last_merge_time_preprocessed,octez_validator_chain_synchronisation_status_preprocessed,octez_validator_chain_is_bootstrapped_preprocessed,octez_validator_peer_system_error_preprocessed,octez_validator_peer_unavailable_protocol_preprocessed,octez_validator_peer_unknown_error_preprocessed,octez_p2p_swap_fail_preprocessed,octez_store_invalid_blocks_preprocessed,process_start_time_seconds_preprocessed
9112.235596,,,,,,,0.0,,,,,,,
9112.258981,,,,,,1.0,,,,,,,,
9112.288993,,,,,0.06430445825160425,,,,,,,,,
9112.316559,,,,0.13636363636363624,,,,,,,,,,
9112.341392,,,0.05860969907272073,,,,,,,,,,,
9112.372535,0.0,,,,,,,,,,,,,
9112.410553,,0.0,,,,,,,,,,,,
9172.453616,,,,,,,,,,,,,,0.0
9172.482236,,,,,,,,,,,,,0.0,
9172.501127,,,,,,,,,,,,0.03153153153153149,,
9172.529414,,,,,,,,,,,0.0,,,
9172.550725,,,,,,,,,,0.0,,,,
9172.578047,,,,,,,,,0.0,,,,,
9172.60594,,,,,,,,0.0,,,,,,
9172.638128,,,,,,,0.0,,,,,,,
9172.660103,,,,,,1.0,,,,,,,,
9172.690711,,,,,0.06471429342645052,,,,,,,,,
9172.717581,,,,0.27272727272727293,,,,,,,,,,
9172.742281,,,0.058995967907058855,,,,,,,,,,,
9172.773367,0.0,,,,,,,,,,,,,
9172.812454,,0.0,,,,,,,,,,,,
9250.372656,,,,,,,,,,,,,,0.0
9250.400943,,,,,,,,,,,,,0.0,
9250.420932,,,,,,,,,,,,0.03153153153153149,,
9250.449492,,,,,,,,,,,0.0,,,
9250.470545,,,,,,,,,,0.0,,,,
9250.499798,,,,,,,,,0.0,,,,,
9250.52759,,,,,,,,0.0,,,,,,
9250.559781,,,,,,,0.0,,,,,,,
9250.581899,,,,,,1.0,,,,,,,,
9250.612108,,,,,0.06530901239479103,,,,,,,,,
9250.638048,,,,0.40909090909090917,,,,,,,,,,
9250.663458,,,0.05953483154347017,,,,,,,,,,,
9250.693753,0.0,,,,,,,,,,,,,
9250.729179,,0.0,,,,,,,,,,,,
9550.872363,,,,,,,,,,,,,,0.0
9550.896974,,,,,,,,,,,,,0.0,
9550.914391,,,,,,,,,,,,0.036036036036036,,
9550.940112,,,,,,,,,,,0.0,,,
9550.959615,,,,,,,,,,0.0,,,,
9550.984977,,,,,,,,,0.0,,,,,
9551.01083,,,,,,,,0.0,,,,,,
9551.042064,,,,,,,0.0,,,,,,,
9551.062874,,,,,,1.0,,,,,,,,
9551.090487,,,,,0.06746167248166957,,,,,,,,,
9551.110965,,,,0.4545454545454546,,,,,,,,,,
9551.127137,,,0.061475067660775595,,,,,,,,,,,
9551.156594,0.0,,,,,,,,,,,,,
9551.194541,,0.0,,,,,,,,,,,,
9851.356851,,,,,,,,,,,,,,0.0
9851.383488,,,,,,,,,,,,,0.0,
9851.398289,,,,,,,,,,,,0.036036036036036,,
9851.424653,,,,,,,,,,,0.0,,,
9851.445506,,,,,,,,,,0.0,,,,
9851.473575,,,,,,,,,0.0,,,,,
9851.500967,,,,,,,,0.0,,,,,,
9851.532049,,,,,,,0.0,,,,,,,
9851.552066,,,,,,1.0,,,,,,,,
9851.578356,,,,,0.06962465509344684,,,,,,,,,
9851.600978,,,,0.5454545454545454,,,,,,,,,,
9851.625364,,,0.06340292401755454,,,,,,,,,,,
9851.654649,0.0,,,,,,,,,,,,,
9851.692982,,0.0,,,,,,,,,,,,
10151.822315,,,,,,,,,,,,,,0.0
10151.850041,,,,,,,,,,,,,0.0,
10151.869859,,,,,,,,,,,,0.036036036036036,,
10151.896721,,,,,,,,,,,0.0,,,
10151.918716,,,,,,,,,,0.0,,,,
10151.948012,,,,,,,,,0.0,,,,,
10151.97634,,,,,,,,0.0,,,,,,
10152.008297,,,,,,,0.0,,,,,,,
10152.029664,,,,,,1.0,,,,,,,,
10152.059713,,,,,0.0717734611009434,,,,,,,,,
10152.085343,,,,0.8636363636363638,,,,,,,,,,
10152.109885,,,0.06542820349660494,,,,,,,,,,,
10152.139791,0.0,,,,,,,,,,,,,
10152.177056,,0.0,,,,,,,,,,,,
10452.294549,,,,,,,,,,,,,,0.0
10452.322421,,,,,,,,,,,,,0.0,
10452.339829,,,,,,,,,,,,0.036036036036036,,
10452.367257,,,,,,,,,,,0.0,,,
10452.388738,,,,,,,,,,0.0,,,,
10452.416062,,,,,,,,,0.0,,,,,
10452.444141,,,,,,,,0.0,,,,,,
10452.475714,,,,,,,0.0,,,,,,,
10452.497281,,,,,,1.0,,,,,,,,
10452.526629,,,,,0.07366603875104127,,,,,,,,,
10452.552272,,,,0.13636363636363624,,,,,,,,,,
10452.576512,,,0.06718967638838924,,,,,,,,,,,
10452.605056,0.0,,,,,,,,,,,,,
10452.642629,,0.0,,,,,,,,,,,,
10752.76071,,,,,,,,,,,,,,0.0
10752.788298,,,,,,,,,,,,,0.0,
10752.807959,,,,,,,,,,,,0.036036036036036,,
10752.834229,,,,,,,,,,,0.0,,,
10752.856006,,,,,,,,,,0.0,,,,
10752.884174,,,,,,,,,0.0,,,,,
10752.911865,,,,,,,,0.0,,,,,,
10752.943202,,,,,,,0.0,,,,,,,
10752.965822,,,,,,1.0,,,,,,,,
10752.99492,,,,,0.07574274920001633,,,,,,,,,
10753.020744,,,,0.27272727272727293,,,,,,,,,,
10753.044811,,,0.0691527003847131,,,,,,,,,,,
10753.075339,0.0,,,,,,,,,,,,,
10753.113924,,0.0,,,,,,,,,,,,
11053.220579,,,,,,,,,,,,,,0.0
11053.247668,,,,,,,,,,,,,0.0,
11053.266817,,,,,,,,,,,,0.036036036036036,,
11053.293111,,,,,,,,,,,0.0,,,
11053.315234,,,,,,,,,,0.0,,,,
11053.343922,,,,,,,,,0.0,,,,,
11053.371171,,,,,,,,0.0,,,,,,
11053.402158,,,,,,,0.0,,,,,,,
11053.42359,,,,,,1.0,,,,,,,,
11053.452216,,,,,0.07803631453900794,,,,,,,,,
11053.477763,,,,0.36363636363636376,,,,,,,,,,
11053.501299,,,0.07131939578565971,,,,,,,,,,,
11053.530558,0.0,,,,,,,,,,,,,
11053.568706,,0.0,,,,,,,,,,,,
11353.69367,,,,,,,,,,,,,,0.0
11353.721402,,,,,,,,,,,,,0.0,
11353.740004,,,,,,,,,,,,0.036036036036036,,
11353.766986,,,,,,,,,,,0.0,,,
11353.78883,,,,,,,,,,0.0,,,,
11353.816437,,,,,,,,,0.0,,,,,
11353.843468,,,,,,,,0.0,,,,,,
11353.873593,,,,,,,0.0,,,,,,,
11353.895277,,,,,,1.0,,,,,,,,
11353.923357,,,,,0.08016374953273486,,,,,,,,,
11353.948352,,,,0.5454545454545454,,,,,,,,,,
11353.972194,,,0.07327792885830964,,,,,,,,,,,
11354.001731,0.0,,,,,,,,,,,,,
11354.037446,,0.0,,,,,,,,,,,,
11654.170624,,,,,,,,,,,,,,0.0
11654.195714,,,,,,,,,,,,,0.0,
11654.214088,,,,,,,,,,,,0.040540540540540515,,
11654.240552,,,,,,,,,,,0.0,,,
11654.261112,,,,,,,,,,0.0,,,,
11654.289541,,,,,,,,,0.0,,,,,
11654.316753,,,,,,,,0.0,,,,,,
11654.347143,,,,,,,0.0,,,,,,,
11654.367224,,,,,,1.0,,,,,,,,
11654.396283,,,,,0.08226428674637187,,,,,,,,,
11654.422078,,,,0.045454545454545414,,,,,,,,,,
11654.445053,,,0.0752635254330869,,,,,,,,,,,
11654.475564,0.0,,,,,,,,,,,,,
11654.514336,,0.0,,,,,,,,,,,,
11954.628815,,,,,,,,,,,,,,0.0
11954.656624,,,,,,,,,,,,,0.0,
11954.676677,,,,,,,,,,,,0.04504504504504503,,
11954.704321,,,,,,,,,,,0.0,,,
11954.725707,,,,,,,,,,0.0,,,,
11954.75363,,,,,,,,,0.0,,,,,
11954.781008,,,,,,,,0.0,,,,,,
11954.812989,,,,,,,0.0,,,,,,,
11954.835687,,,,,,1.0,,,,,,,,
11954.866913,,,,,0.08432039050077778,,,,,,,,,
11954.891469,,,,0.31818181818181834,,,,,,,,,,
11954.917574,,,0.07721152879294524,,,,,,,,,,,
11954.949421,0.0,,,,,,,,,,,,,
11954.989379,,0.0,,,,,,,,,,,,
12255.109392,,,,,,,,,,,,,,0.0
12255.135555,,,,,,,,,,,,,0.0,
12255.155276,,,,,,,,,,,,0.04954954954954954,,
12255.18267,,,,,,,,,,,0.0,,,
12255.203927,,,,,,,,,,0.0,,,,
12255.232518,,,,,,,,,0.0,,,,,
12255.257657,,,,,,,,0.0,,,,,,
12255.289309,,,,,,,0.0,,,,,,,
12255.310883,,,,,,1.0,,,,,,,,
12255.340257,,,,,0.08618258260453615,,,,,,,,,
12255.367237,,,,0.40909090909090917,,,,,,,,,,
12255.391537,,,0.07890664346939813,,,,,,,,,,,
12255.420915,0.0,,,,,,,,,,,,,
12255.457306,,0.0,,,,,,,,,,,,
12555.574117,,,,,,,,,,,,,,0.0
12555.601265,,,,,,,,,,,,,0.0,
12555.619751,,,,,,,,,,,,0.04954954954954954,,
12555.64643,,,,,,,,,,,0.0,,,
12555.668709,,,,,,,,,,0.0,,,,
12555.697708,,,,,,,,,0.0,,,,,
12555.725242,,,,,,,,0.0,,,,,,
12555.756723,,,,,,,0.0,,,,,,,
12555.778764,,,,,,1.0,,,,,,,,
12555.80889,,,,,0.08810914069085396,,,,,,,,,
